date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,emergency_periods,simultaneous_charge_discharge_periods,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,balance_max_abs_kwh,solve_seconds
2025-02-01,18061.680904904533,-686.1847026128378,0.0,17375.496202291695,41756.28971864054,39240.9632964567,0.0,2416.6905821948058,18561.73998822595,16115.643207297384,0,0,10800.0,9599.295759072927,1255.6238088650941,10800.0,833.3333333333333,552.0416666666666,1.1368683772161603e-13,0.30624060006812215
2025-02-02,57902.71159270678,-1640.3360607239206,74.81193962938296,56337.18747161224,79274.88338113055,75429.75676193976,12.898610280928096,1062.0398263247312,14030.288074818327,18005.950478922365,1,0,9599.295759072927,2219.943383162345,1200.0,10800.0,833.3333333333333,809.9943034722221,0.0,0.3174286000430584
2025-02-03,60456.06160257332,-154.0207499675592,0.0,60302.04085260576,84669.12251498853,84338.42976494195,0.0,138.56190382716807,22633.50164752779,18650.55028641301,0,0,2219.943383162345,1867.2612143673527,1661.1219820216734,10800.0,833.3333333333333,822.0777264583335,0.0,0.303175900131464
2025-02-04,60349.04768196933,2196.036559515067,0.0,62545.084241484394,84728.96814771596,85925.84369042033,0.0,245.44288304592715,23280.404318481113,18794.86746110671,0,0,1867.2612143673527,1936.4390331040172,1494.2867282198954,10800.0,833.3333333333333,824.6464944444443,0.0,0.3070437000133097
2025-02-05,58778.612009023665,5403.771717339208,169.95902880277927,64352.34275516565,82429.48970727157,86496.17905845062,24.546364645115432,1546.7056264128848,22283.96130439073,18058.368491041198,1,0,1936.4390331040172,1927.1503281210123,1617.2017992743881,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.3154004996176809
2025-02-06,59768.06250901766,1394.3199100058282,152.31749033333412,61314.69990935682,84031.39227329045,84776.57805100852,21.052866666666773,44.49738004167352,22748.12243165756,18266.04611069071,1,0,1927.1503281210123,2104.8537269564727,1771.1787252696067,10684.813860434144,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.3483700000215322
2025-02-07,20088.985810168087,-308.1582821378525,0.0,19780.827528030233,49261.61411580343,47865.72768968475,0.0,3474.6106525798054,28439.652382159475,15854.215011721197,0,0,2104.8537269564727,10084.746413432003,1615.6758277874294,10800.0,833.3333333333333,536.0374499999999,0.0,0.2839649000670761
2025-02-08,15766.682837727198,249.65598484095938,0.0,16016.338822568157,38075.35794085864,38112.76631076712,0.0,2562.8784660717038,20262.49237513714,16289.767247108392,0,0,10084.746413432003,10221.248165379433,1561.402406040213,10800.0,833.3333333333333,519.1618833333333,0.0,0.25179350026883185
2025-02-09,54415.208425667166,2555.633186065167,0.0,56970.841611732336,73509.0764946242,75562.13458345397,0.0,926.4809995449601,13420.281199535268,18340.043582292914,0,0,10221.248165379433,1921.6750424134875,1722.1485281975256,10800.0,833.3333333333333,751.7003732791056,0.0,0.29960810020565987
2025-02-10,55978.88133610744,-187.02134725435008,0.0,55791.859988853095,81773.62454190996,78911.06039267272,0.0,225.774214061772,20371.02739469789,16012.37879942027,0,0,1921.6750424134875,2464.0676982857312,1781.407495631411,10458.781421274003,833.3333333333333,770.706129506173,0.0,0.2895851000212133
2025-02-11,55225.63346329523,690.9266685620307,71.41897577043277,55987.97910762769,79536.004830167,79644.9392946544,13.360579135802595,313.82561816680027,21258.734677253844,17134.857554963775,1,0,2464.0676982857312,2558.198291187775,1390.4010277595905,10800.0,833.3333333333333,833.3333333333333,0.0,0.30385049991309643
2025-02-12,54096.726961199,1478.6287986816076,0.0,55575.35575988061,78176.57801395855,78523.62742222263,0.0,54.959071460049245,20253.0228530479,17051.090635618646,0,0,2558.198291187775,1840.2625971323885,1643.3344322558455,10395.550151845455,833.3333333333333,832.1360945555555,0.0,0.300135999917984
2025-02-13,52492.92100545474,442.44519884411864,0.0,52935.36620429886,77229.21750785435,76637.24141690563,0.0,1195.2134290934878,20027.39776600569,15914.848794860212,0,0,1840.2625971323885,2181.755258915067,1840.2625971323885,10800.0,833.3333333333333,779.6043702662038,0.0,0.3626987000461668
2025-02-14,18037.49206649593,897.44600449112,0.0,18934.938070987053,44740.980638131616,45582.9904480694,0.0,2870.8222310898745,27439.23367831302,14528.867278000158,0,0,2181.755258915067,10733.879704952167,1438.2293269597312,10800.0,833.3333333333333,559.76725,0.0,0.2751858998090029
2025-02-15,15446.42810736248,326.7907067207493,0.0,15773.21881408323,35747.18061335985,35966.6499732036,0.0,3354.4808090659926,19887.790839448517,16555.712775310905,0,0,10733.879704952167,10237.655043443718,1702.9373446418676,10800.0,833.3333333333333,547.3166666666666,0.0,0.2811764001380652
2025-02-16,49820.71262128283,2378.76121926379,1361.7912463342823,53561.2650868809,69170.79272424773,70737.22765206423,270.41326697738316,201.95186817968238,12508.370161888763,17080.06021102682,2,0,10237.655043443718,2517.343510224909,1200.0,10452.147244504937,833.3333333333333,770.1945025601849,0.0,0.3084528995677829
2025-02-17,52945.46499523184,803.3106758348008,0.0,53748.77567106664,77676.65786493213,74699.821695484,0.0,553.6719803835186,17772.407546134655,14810.12099770084,0,0,2517.343510224909,2056.82030430072,1497.9653962760285,10450.171936524694,833.3333333333333,804.1549999999999,0.0,0.29424180020578206
2025-02-18,49797.88636402715,2626.494985156357,0.0,52424.38134918351,74649.68736067858,76691.03831287022,0.0,54.40555160968153,20609.164928706447,16063.91995077923,0,0,2056.82030430072,2756.2687948262583,1887.4997048503337,10800.0,830.3654444444444,818.3170671728393,0.0,0.30315289995633066
2025-02-19,49917.22977686129,3047.029743096015,1.6630561931425536,52965.92257615045,74200.70851009633,76559.72687780205,0.32273553136863065,552.5553622051843,21930.02635394985,18801.85948615494,1,0,2756.2687948262583,1602.3375287645224,1200.0,10800.0,833.3333333333333,808.3782286682095,0.0,0.3059614000376314
2025-02-20,51199.69676208976,1521.62882501189,32.44494268341534,52753.77052978507,75589.74650483453,76901.18846025688,5.782896833333098,1195.4655325023045,21978.97542642442,17260.603335169842,1,0,1602.3375287645224,2204.967262357785,1377.984414803703,10800.0,833.3333333333333,833.3333333333333,0.0,0.3140473999083042
2025-02-21,18077.442263829762,396.94320886237784,0.0,18474.385472692138,43870.99026823716,44226.50652759761,0.0,5847.978516893034,27028.26460085697,14209.998623485726,0,0,2204.967262357785,10741.518043700478,1691.6258871057414,10800.0,833.3333333333333,535.038,0.0,0.2506100998725742
2025-02-22,14909.940935540475,336.799555856649,0.0,15246.740491397124,34922.207760608435,35176.60796557242,0.0,3877.231377158263,19919.385412750114,16464.771707669286,0,0,10741.518043700478,10374.774128876374,1738.7818956022863,10800.0,833.3333333333333,530.305,0.0,0.2710392000153661
2025-02-23,46444.214447257364,852.3234170851883,0.0,47296.53786434255,66262.23026284718,66676.32709481232,0.0,199.67244042464978,13276.350606751308,18331.54963569696,0,0,10374.774128876374,1955.101190844811,1677.5103540546877,10800.0,833.3333333333333,792.1227777777777,1.1368683772161603e-13,0.329506800044328
2025-02-24,50416.76745630933,-634.5355932872956,0.0,49782.23186302203,75224.66953965521,73012.16322667121,0.0,393.76768166599356,20473.933474494264,16058.571546155712,0,0,1955.101190844811,2538.784044383314,1660.694937963561,10800.0,833.3333333333333,810.5166774444442,0.0,0.310677400091663
2025-02-25,48859.24740515987,-689.9942262612569,100.3812654048873,48269.6344443035,73947.43362134884,71003.47852862813,19.559872448341252,1500.3511791626954,19368.848806299415,15667.484817718974,1,0,2538.784044383314,2562.431505920595,1737.5925995008427,10800.0,833.3333333333333,833.3333333333333,0.0,0.31832340033724904
2025-02-26,47291.533615913235,2634.775310487802,0.0,49926.308926401034,70580.87525967121,72833.96886948541,0.0,631.1054489327612,20179.81929368135,16791.80390646202,0,0,2562.431505920595,2066.708974164899,1811.3061318809478,10800.0,833.3333333333333,818.5968999999998,0.0,0.3070191000588238
2025-02-27,46649.32477235326,515.6346556900395,945.9812493695135,48110.940677412815,71788.27460360245,71716.87503046863,181.83071469576237,288.8678351808919,22493.21588338592,17839.96217340243,3,0,2066.708974164899,2488.423076542861,1200.0,10592.844546582714,833.3333333333333,827.4463444444443,1.1368683772161603e-13,0.32819400005973876
2025-02-28,16818.87206087284,-23.301616333869916,0.0,16795.57044453897,42627.67927194282,42489.31216734956,0.0,7119.934690124096,25884.703762725658,13807.919835500194,0,0,2488.423076542861,10442.52331244019,1565.3809569031287,10800.0,833.3333333333333,520.9738,0.0,0.24444299982860684
