date,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,emergency_periods,simultaneous_charge_discharge_periods,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,balance_max_abs_kwh,solve_seconds
2025-02-01,18471.02834968634,0.0,0.0,18471.02834968634,42552.42341490129,42552.42341490129,0.0,4984.598601591217,18296.122785316184,15106.473905339444,0,0,2746.0709581845663,2427.610459036422,2222.7523200000014,10800.0,833.3333333333333,552.0416666666666,1.1368683772161603e-13,0.10064659989438951
2025-02-02,62949.811745702624,0.0,0.0,62949.811745702624,88515.14859129766,88515.14859129766,0.0,5934.455997944713,20552.809559781625,16328.394916428671,0,0,2427.610459036422,2782.4780445858046,2354.325845370373,10800.0,833.3333333333333,769.9785188888889,0.0,0.13047760003246367
2025-02-03,61195.753885777725,0.0,0.0,61195.753885777725,84756.94087848591,84756.94087848591,0.0,1098.1035394016908,20702.65961121519,17260.73877213098,0,0,2782.4780445858046,2236.273058978393,2063.3735562623438,10800.0,833.3333333333333,805.3937333333334,0.0,0.11311350017786026
2025-02-04,61143.81383521424,0.0,269.3037777358688,61413.11761295011,84896.68100099674,84896.68100099674,91.42761704264947,493.76773433470487,21826.786492510066,18527.30955880537,5,0,2236.273058978393,1294.4813924537043,1200.0,10800.0,833.3333333333333,814.257411111111,0.0,0.10817250004038215
2025-02-05,61081.53313199807,0.0,509.0949753675497,61590.62810736562,85158.01604886592,85158.01604886592,88.72883622222109,31.432268888888643,22948.281273408313,18481.395640542385,2,0,1294.4813924537043,1413.0504934740827,1200.0,10132.617684654319,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.14739189995452762
2025-02-06,60964.06316656198,0.0,152.31749033333412,61116.380656895315,85042.24494170945,85042.24494170945,21.052866666666773,46.064768888887784,22967.084406685182,18220.908583864613,1,0,1413.0504934740827,1837.9724774189565,1413.0504934740827,10496.96175158766,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0.16059269988909364
2025-02-07,17438.607141558023,0.0,0.0,17438.607141558023,40875.65579556879,40875.65579556879,0.0,4841.146570706572,19705.132929624353,15476.303371428803,0,0,1837.9724774189565,2376.6994791599664,1837.9724774189565,10800.0,833.3333333333333,536.0374499999999,0.0,0.14100939990021288
2025-02-08,16384.013478428253,0.0,0.0,16384.013478428253,38299.790786365855,38299.790786365855,0.0,3465.3270964318513,18150.613121936723,14893.312148669385,0,0,2376.6994791599664,2164.12667927037,1957.19151974074,10800.0,833.3333333333333,519.1618833333333,0.0,0.13638249994255602
2025-02-09,59141.686097111524,0.0,0.0,59141.686097111524,83245.30867241135,83245.30867241135,0.0,134.07763168724443,21839.940921096822,18284.12584703938,0,0,2164.12667927037,1504.3781226581932,1418.1130511149834,10515.521662641975,833.3333333333333,737.0414000000001,0.0,0.14904230018146336
2025-02-10,57715.47259594027,0.0,0.0,57715.47259594027,83709.3963764662,83709.3963764662,0.0,5323.843706883674,20207.945648349207,16149.030562100004,0,0,1504.3781226581932,1748.1619149502446,1504.3781226581932,10800.0,833.3333333333333,743.5716666666667,0.0,0.16212390013970435
2025-02-11,56990.809891149795,0.0,0.0,56990.809891149795,82101.13143925875,82101.13143925875,0.0,2645.6290863932904,21570.027264553282,17335.122045021155,0,0,1748.1619149502446,1899.9397363580256,1702.0916243903905,10800.0,833.3333333333333,826.1574222222223,0.0,0.17370859999209642
2025-02-12,55732.794207128405,0.0,0.0,55732.794207128405,80752.84983997964,80752.84983997964,0.0,1541.470918012154,21720.390883635126,17775.748095000963,0,0,1899.9397363580256,1697.4603149619045,1552.709889035978,10800.0,833.3333333333333,825.4096977777779,0.0,0.17447279999032617
2025-02-13,54959.56119782294,0.0,0.0,54959.56119782294,80575.3940433353,80575.3940433353,0.0,4958.409468064301,20043.341591304328,15755.836032699995,0,0,1697.4603149619045,2229.9832663580246,1697.4603149619045,10800.0,833.3333333333333,793.3462666666667,0.0,0.1465281001292169
2025-02-14,15130.144297511746,0.0,0.0,15130.144297511746,35446.04871648285,35446.04871648285,0.0,2546.0458690102,18040.488706522345,14942.287675716363,0,0,2229.9832663580246,1863.8812403210713,1484.1325126944457,10800.0,833.3333333333333,559.76725,0.0,0.11545380018651485
2025-02-15,15660.147122865432,0.0,0.0,15660.147122865432,35740.22857467631,35740.22857467631,0.0,3479.7597885185182,17750.96999346245,14770.592307304663,0,0,1863.8812403210713,1427.9850040987653,1427.9850040987653,10800.0,833.3333333333333,547.3166666666666,0.0,0.08406600006856024
2025-02-16,54083.89946949875,0.0,3959.089832647326,58042.989302146074,79036.37709893317,79036.37709893317,608.4840338123834,75.99648222222243,21865.34532322617,17673.85977270284,4,0,1427.9850040987653,1469.1738253325032,1200.0,10441.96036263623,833.3333333333333,833.3333333333333,0.0,0.15299879992380738
2025-02-17,53826.94087416575,0.0,0.0,53826.94087416575,78954.5111143597,78954.5111143597,0.0,3481.359150828189,20189.70888947967,15900.420092614819,0,0,1469.1738253325032,1972.7783896255087,1469.1738253325032,10800.0,833.3333333333333,820.0833333333331,0.0,0.15778769995085895
2025-02-18,51979.693801225236,0.0,0.0,51979.693801225236,77471.9323779689,77471.9323779689,0.0,1155.625686449374,20932.339103860417,16707.420195674214,0,0,1972.7783896255087,2248.0833656840896,1896.054446543209,10800.0,833.3333333333333,821.3480577777777,0.0,0.1504607000388205
2025-02-19,51877.90367232684,0.0,2705.0377607938285,54582.941433120664,77338.6273553093,77338.6273553093,489.0579412777811,1858.1744088888884,21054.451228845,17964.267724480123,11,0,2248.0833656840896,1236.792,1200.0,10146.283369567902,833.3333333333333,833.3333333333333,0.0,0.18309099995531142
2025-02-20,53103.080216978255,0.0,0.0,53103.080216978255,78054.85182471578,78054.85182471578,0.0,1852.5787291083793,21993.281041518523,16784.14167924445,0,0,1236.792,2381.6986270950565,1236.792,10800.0,833.3333333333333,829.6010611111109,0.0,0.14785869978368282
2025-02-21,15098.373135109912,0.0,0.0,15098.373135109912,34575.97137708432,34575.97137708432,0.0,5810.890286007443,17052.93407126613,13848.115013522589,0,0,2381.6986270950565,2342.544831765024,1560.2455006234566,10800.0,828.1688888888889,535.038,0.0,0.1389788999222219
2025-02-22,14961.21841542715,0.0,0.0,14961.21841542715,34450.49616768907,34450.49616768907,0.0,3798.5184237672065,16844.403326714484,14037.188466125954,0,0,2342.544831765024,1905.6317523347716,1725.6379389310405,10800.0,833.3333333333333,530.305,0.0,0.09773740009404719
2025-02-23,51636.089732461696,0.0,0.0,51636.089732461696,76364.86079473628,76364.86079473628,0.0,547.6912659325195,21270.1209153482,16984.80506987778,0,0,1905.6317523347716,2176.7349429506203,1905.6317523347716,10800.0,833.3333333333333,808.051111111111,0.0,0.11554259993135929
2025-02-24,51251.52691671377,0.0,0.0,51251.52691671377,75949.05101760481,75949.05101760481,0.0,4327.368661281083,18930.53679722908,15511.888057572014,0,0,2176.7349429506203,1978.786885376771,1783.624920500228,10800.0,833.3333333333333,808.8796177777776,0.0,0.13197589991614223
2025-02-25,49569.321074577354,0.0,0.0,49569.321074577354,75079.694135558,75079.694135558,0.0,5518.459988884222,18968.42051138377,15228.509598043327,0,0,1978.786885376771,2129.799125574017,1923.7931864382144,10800.0,833.3333333333333,826.4944444444441,0.0,0.13374889991246164
2025-02-26,49271.94005677481,0.0,0.0,49271.94005677481,73699.98304097116,73699.98304097116,0.0,1208.1011284634196,20134.56195288511,16457.528073710702,0,0,2129.799125574017,1964.7625790476193,1664.1340480599645,10800.0,833.3333333333333,794.0727777777776,0.0,0.10686730011366308
2025-02-27,47501.846414411484,0.0,0.0,47501.846414411484,72413.59814242243,72413.59814242243,0.0,842.7020328359893,22212.392989788914,17598.081080202464,0,0,1964.7625790476193,2402.4928474104604,1428.4727828954422,10800.0,833.3333333333333,819.6443644444445,1.1368683772161603e-13,0.11815660004504025
2025-02-28,14161.015768271162,0.0,0.0,14161.015768271162,33563.587550351054,33563.587550351054,0.0,7169.023070958019,16684.31983070402,13582.348901310981,0,0,2402.4928474104604,2326.881915809655,1694.2644268622157,10800.0,833.3333333333333,520.9738,0.0,0.12593530002050102
2025-03-01,14049.808842217442,0.0,0.0,14049.808842217442,33360.452037130264,33360.452037130264,0.0,7104.249889451301,15636.950206644968,13039.513992299333,0,0,2326.881915809655,1911.7882214575257,1717.5975562723404,10800.0,833.3333333333333,478.9468333333333,5.684341886080802e-14,0.09845459996722639
2025-03-02,48286.47353903654,0.0,18213.467863567195,66499.94140260373,72381.9649728222,72381.9649728222,2925.8730899758507,121.49568222222217,18198.188037388027,15370.152723478861,9,0,1911.7882214575257,1212.2099845746911,1200.0,10386.538125567804,833.3333333333333,744.1101999999998,0.0,0.15087209991179407
2025-03-03,50178.9341306017,0.0,4670.670407648699,54849.6045382504,75438.35265449918,75438.35265449918,808.4225479851482,123.71392555555553,21667.91384059298,17561.999196997538,13,0,1212.2099845746911,1200.0,1200.0,10132.440744456795,833.3333333333333,802.9316166666667,0.0,0.15560980001464486
2025-03-04,50764.78034029025,0.0,0.0,50764.78034029025,76069.19279328806,76069.19279328806,0.0,2044.58712073978,21248.56587276448,16423.41813354952,0,0,1200.0,2075.4669148774574,1200.0,10800.0,833.3333333333333,821.0522666666667,0.0,0.12925929995253682
2025-03-05,49197.64408999878,0.0,32.736535900001016,49230.38062589878,75050.11658781972,75050.11658781972,6.618300000000204,5042.495980431928,19787.215080855283,15903.448190134157,2,0,2075.4669148774574,2213.4624986092576,1884.6368423456775,10800.0,833.3333333333333,833.3333333333333,0.0,0.11061120009981096
2025-03-06,49603.2534301069,0.0,0.0,49603.2534301069,74974.66073722465,74974.66073722465,0.0,5425.625865842626,19143.746720493145,15535.365982444446,0,0,2213.4624986092576,2181.3167887814843,1847.7423938271636,10800.0,833.3333333333333,762.891111111111,0.0,0.1408640998415649
2025-03-07,13740.542659291968,0.0,0.0,13740.542659291968,32601.65110486817,32601.65110486817,0.0,8615.59985610754,15131.74900437174,12067.983288944444,0,0,2181.3167887814843,2391.020571666665,2127.3762984567884,10800.0,833.3333333333333,456.53116666666665,0.0,0.10507009993307292
2025-03-08,13244.35492983085,0.0,0.0,13244.35492983085,31386.903159829766,31386.903159829766,0.0,9706.40711809657,15016.284136899862,12398.927611833335,0,0,2391.020571666665,2129.0900595061735,1778.76128571605,10800.0,833.3333333333333,464.6276666666667,0.0,0.10283900005742908
2025-03-09,46332.25403372597,0.0,0.0,46332.25403372597,71833.03425727253,71833.03425727253,0.0,4769.745309269134,19857.605332419065,16127.84143441566,0,0,2129.0900595061735,2081.111042665929,1845.6532797233363,10800.0,833.3333333333333,777.0863666666667,0.0,0.14293649978935719
2025-03-10,46777.83821718377,0.0,3822.0686358088055,50599.90685299258,70394.34773992702,70394.34773992702,700.3597677001942,7.592747777777731,19980.93997517778,16935.896665328335,9,0,2081.111042665929,1246.2940588499998,1200.0,9873.31905470691,833.3333333333333,822.2328833333333,1.1368683772161603e-13,0.11760939983651042
2025-03-11,47123.08076759479,0.0,0.0,47123.08076759479,72330.04488246205,72330.04488246205,0.0,3515.9895014916383,20636.95742241486,15761.820841444442,0,0,1246.2940588499998,2306.421470751778,1246.2940588499998,10800.0,833.3333333333333,788.2315166666667,1.1368683772161603e-13,0.1403072001412511
2025-03-12,45227.36580142611,0.0,0.0,45227.36580142611,70513.30180229929,70513.30180229929,0.0,4878.0978289163295,19638.89972632518,16439.230436275553,0,0,2306.421470751778,1715.6196285827195,1668.7741600351878,10800.0,833.3333333333333,795.64,0.0,0.12139300000853837
2025-03-13,44336.74522762082,0.0,16181.843242003924,60518.588469624745,68324.96973801643,68324.96973801643,2640.0735572766603,70.5949222222223,18581.607249063156,15232.776892658945,11,0,1715.6196285827195,1513.758494229629,1200.0,9982.308274604946,833.3333333333333,829.3766666666667,0.0,0.15156549983657897
2025-03-14,12735.714228905603,0.0,0.0,12735.714228905603,30842.583736446068,30842.583736446068,0.0,11047.427032565154,15825.193074916217,12059.462354368638,0,0,1513.758494229629,2357.0296456890687,1464.0004343086391,10800.0,833.3333333333333,496.715,0.0,0.12929739989340305
2025-03-15,12768.624266870978,0.0,253.52372497284313,13022.147991843822,29812.287203637625,29812.287203637625,82.8418201222276,6939.467637963231,14559.86166867139,12528.325432874772,2,0,2357.0296456890687,1540.5435554102373,1200.0,10800.0,824.6448488888889,494.00738333333334,0.0,0.09270850010216236
2025-03-16,44673.23107990311,0.0,0.0,44673.23107990311,70350.71946272196,70350.71946272196,0.0,2120.5191300474694,20961.724523407822,16082.57112406667,0,0,1540.5435554102373,2536.572155292099,1540.5435554102373,10800.0,833.3333333333333,817.1838888888888,0.0,0.14010720001533628
2025-03-17,43259.587831291996,0.0,0.0,43259.587831291996,69289.59217060503,69289.59217060503,0.0,7951.458310774098,17840.246406908707,14360.243980411109,0,0,2536.572155292099,2636.9672766087074,2143.142313460559,10800.0,833.3333333333333,792.12985,0.0,0.1283072999212891
2025-03-18,43027.247571519634,0.0,0.0,43027.247571519634,68117.46354867483,68117.46354867483,0.0,3252.6623500742244,20145.249804056162,16406.406972122222,0,0,2636.9672766087074,2538.3510201234553,2028.0662507458098,10800.0,833.3333333333333,801.5304166666665,0.0,0.12037190003320575
2025-03-19,41967.71758999771,0.0,0.0,41967.71758999771,66722.31386645103,66722.31386645103,0.0,3479.609043213436,19866.264482770923,16089.030109533333,0,0,2538.3510201234553,2541.2889329135833,2016.2809565957978,10800.0,833.3333333333333,804.7827777777777,0.0,0.143277500057593
2025-03-20,42139.151784285496,0.0,0.0,42139.151784285496,66148.81611191758,66148.81611191758,0.0,857.2833675736811,19646.889568285318,16564.318640608097,0,0,2541.2889329135833,1818.6910548058172,1320.6096285095205,10800.0,833.3333333333333,812.1955555555553,1.1368683772161603e-13,0.1415393000934273
2025-03-21,12499.081976595558,0.0,0.0,12499.081976595558,30398.741601066242,30398.741601066242,0.0,14850.684252263374,15386.000546580643,11871.407714444442,0,0,1818.6910548058172,2475.6385306790135,1395.9499226049372,10800.0,821.5376339780521,494.82499999999993,5.684341886080802e-14,0.09996229992248118
2025-03-22,12230.258260980669,0.0,0.0,12230.258260980669,29547.66741113026,29547.66741113026,0.0,10908.014608874935,14303.188033433295,11544.734964511303,0,0,2475.6385306790135,2521.024466867529,1833.8362679874442,10800.0,833.3333333333333,468.04194999999993,0.0,0.09494309988804162
2025-03-23,40588.403368756306,0.0,0.0,40588.403368756306,64609.58102201276,64609.58102201276,0.0,2512.6346774485664,19078.98392123086,15751.757693333333,0,0,2521.024466867529,2190.157003382713,1901.5911053905156,10800.0,833.3333333333333,817.6898666666666,1.1368683772161603e-13,0.13542470009997487
2025-03-24,40404.16388888341,0.0,0.0,40404.16388888341,64210.881264314616,64210.881264314616,0.0,2256.487255503182,19561.72266725318,15605.825741775077,0,0,2190.157003382713,2455.90102416049,2190.157003382713,10800.0,833.3333333333333,791.9585666666665,0.0,0.11513330019079149
2025-03-25,40087.057043871915,0.0,446.2434419938453,40533.30048586576,63638.62540612921,63638.62540612921,81.20998103556326,125.39655555555555,18930.82417560699,16286.510060664437,5,0,2455.90102416049,1397.52049257963,1200.0,10328.965669580244,833.3333333333333,781.8044444444445,0.0,0.1367577000055462
