volatility_factor,mean_daily_price_cv,maximum_daily_mean_price_error_yuan_per_kwh,minimum_stressed_price_yuan_per_kwh,maximum_stressed_price_yuan_per_kwh,q4_2_total_cost_yuan,q4_2_plan_cost_yuan,q4_2_emergency_cost_yuan,q4_2_emergency_kwh,q4_3_total_cost_yuan,q4_3_plan_cost_yuan,q4_3_adjustment_cost_yuan,q4_3_emergency_cost_yuan,q4_3_emergency_kwh,q4_2_cross_day_soc_continuous,q4_3_cross_day_soc_continuous,q4_2_max_balance_residual_kwh,q4_3_max_balance_residual_kwh
0.5,0.21869377877252286,1.2212453270876722e-15,0.06656068811859336,1.298013528476484,15366677.513972215,14831610.70050973,535066.8134624822,104324.58360386014,15186256.319344398,14376687.94069716,722695.8003689677,86872.57827826764,19679.34890703991,True,True,2.2737367544323206e-13,2.2737367544323206e-13
0.75,0.32354718461282994,1.2212453270876722e-15,0.022674160278339416,1.5335474579277246,14900312.04006611,14230793.011492223,669519.0285738874,117404.7154536933,14579897.486498334,13706840.564421726,768273.0719476459,104783.85012896135,21904.32576050113,True,True,2.2737367544323206e-13,2.2737367544323206e-13
1.0,0.4247440186176067,7.771561172376096e-16,0.0076,1.7936,14401772.58156704,13603509.031880088,798263.5496869506,126055.49297905146,13953460.931182334,13068665.059611797,766977.4280867311,117818.44348380476,22900.972321410485,True,True,2.2737367544323206e-13,2.2737367544323206e-13
1.25,0.5219919847036549,1.2212453270876722e-15,0.002511417039079721,2.0773761092082323,13921086.988105934,13044955.156861156,876131.8312447793,123336.95492816636,13387381.806483237,12513665.37620222,750167.7671195497,123548.66316146914,21292.418104012693,True,True,2.2737367544323206e-13,2.2737367544323206e-13
1.5,0.6151754794611545,9.992007221626409e-16,0.0008192572705235196,2.399210452426872,13524008.830387268,12542946.016650066,981062.8137372035,125659.09186305177,12880625.39494697,12012407.45366792,735597.3334136335,132620.6078654157,21392.71487614919,True,True,2.2737367544323206e-13,2.2737367544323206e-13
