scenario,days,total_cost_yuan,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,plan_kwh,final_purchase_kwh,emergency_kwh,emergency_days,waste_kwh,charge_kwh,discharge_kwh,average_daily_storage_throughput_percent,annual_equivalent_full_cycles,soc_min_kwh,soc_max_kwh,max_charge_kwh,max_discharge_kwh,max_balance_residual_kwh,simultaneous_charge_discharge_periods,cross_day_soc_continuous,solve_seconds
causal Q4-2,334,14401772.581567038,13603509.031880088,0.0,798263.5496869506,20642939.912288442,20642939.912288442,126055.49297905146,103,1668540.82420041,6153973.117903085,4992708.031802666,278.110807128387,464.44504790440635,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,42.72890799748711
causal Q4-3,334,13953460.931182334,13068665.059611797,766977.4280867311,117818.44348380476,20090653.879522122,20535635.373595208,22900.972321410485,91,1421673.1650446225,6344586.187718398,5146912.501813067,286.71403915996666,478.81244539714436,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,93.0515225965064
fixed-price Q4-2,334,14448789.360518947,13634633.074905306,0.0,814156.2856136396,20632061.34860599,20632061.34860599,127912.33303554569,107,1674121.1205025762,6042392.263340307,4895729.197168015,272.90722206857095,455.75506085451343,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,42.090780498227105
fixed-price Q4-3,334,13991559.81773767,13095112.99801389,785685.7593045034,110761.06041927845,20060179.417353645,20518906.353247177,21152.53044688981,87,1424175.3367019529,6198012.549778174,5021318.497752726,279.92342932961327,467.4721269804542,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,84.91264580539428
price-oracle Q4-2,334,14346256.9948097,13486142.52678321,0.0,860114.468026492,20704105.00226164,20704105.00226164,134415.87498739117,112,1674235.4450687696,6490863.7132961,5265767.776082507,293.32912897651215,489.8596453907753,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,42.318663398502395
price-oracle Q4-3,334,13854095.285710298,12959950.76265849,779055.7860535369,115088.73699826948,20154491.283449218,20619684.35389423,22295.658688822798,105,1441833.686601783,6678326.02377863,5417369.192764027,301.78880280795056,503.9873006892774,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,100.55380010209046
perfect-information lower bound,334,12809266.069091236,12809266.069091236,0.0,2.922829086315915e-10,20249680.07267175,20249680.07267175,4.97546004396554e-11,0,990168.0903121401,6990697.132594444,5670374.6452015,315.8950044360265,527.5446574081643,1200.0,10800.0,833.3333333333333,833.3333333333333,2.2737367544323206e-13,0,True,3.1788764966186136
